"","MovieID","MovieName","ReleaseDate","BoxOfficeGross"
"1",1,"Rogue One","2016-12-14",1.034e+09
"2",2,"Hidden Figures","2017-02-15",107700000
"3",3,"Doctor Strange","2016-10-13",664400000
"4",4,"The Jungle Book","2016-04-04",966600000
"5",5,"Captain America: Civil War","2016-04-27",1.132e+09
"6",6,"Deadpool","2016-01-21",760300000
